time,open,high,low,close
2020-06-29,9116.4575,9298.875,8909.995,9078.89
2020-07-06,9078.75,9481.8975,9063.265,9302.385
2020-07-13,9303.9125,9351.015,9021.5525,9213.99
2020-07-20,9215.165,10184.4275,9131.4275,9942.845
2020-07-27,9942.1375,12123.25,9935.68,11066.14
2020-08-03,11071.575,11920.0825,10895.7775,11687.8175
2020-08-10,11688.64,12087.03,11128.875,11918.0375
2020-08-17,11920.0225,12479.03,11366,11650.9875
2020-08-24,11653.5025,11826.32,11113.87,11713.08
2020-08-31,11714.0825,12072.2525,9849.325,10258.09
2020-09-07,10258.355,10579.535,9836.43,10335.125
2020-09-14,10336.025,11180.7775,10252.8975,10921.11
2020-09-21,10920.915,10993.4575,10136.78,10777.975
2020-09-28,10779.07,10952.065,10376.45,10673.18
2020-10-05,10671.41,11496.96,10526.6975,11375.2725
2020-10-12,11375.1175,11730.81,11188.1575,11513.1325
2020-10-19,11513.305,13358.31,11415.9425,13042.115
2020-10-26,13042.86,14095.095,12785.0975,13768.1925
2020-11-02,13768.7125,15971.91,13219.33,15484.175
2020-11-09,15483.03,16492.71,14821.125,15969.7475
2020-11-16,15970.3225,18978.125,15880.955,18442.9925
2020-11-23,18440.27,19499.825,16210.25,18197.3175
2020-11-30,18201.185,19930.2625,17817.1475,19382.2675
2020-12-07,19379.3375,19432.1425,17575.405,19164.8025
2020-12-14,19160.14,24298.685,18987.4775,23478.995
2020-12-21,23477.04,28378.285,21894.5975,26259.1225
2020-12-28,26244.505,34789.25,25840.645,33096.3175
2021-01-04,33087.9125,41993.84,27741.085,38173.345
2021-01-11,38170.4125,40117.0575,30228.2825,35822.635
2021-01-18,35821.3125,37881.4775,28876.7525,32291.01
2021-01-25,32293.7375,38619.21,29188.3475,33138.715
2021-02-01,33128.5375,41002.87,32328.07,38868.57
2021-02-08,38877.0325,49703.665,38060.915,48660.45
2021-02-15,48652.725,58385.435,45805.93,57492.04
2021-02-22,57489.645,57579.39,43022.665,45238.64
2021-03-01,45247.535,52664.005,45039.19,50977.285
2021-03-08,50978.235,61769.97,49328.4025,58997.37
2021-03-15,58976.94,60584.4475,53045.1725,57378.6275
2021-03-22,57389.9675,58433.005,50372.0775,55786.5525
2021-03-29,55787.1175,60070.765,54900.1275,58210.9525
2021-04-05,58211.5525,61207.0475,55437.9825,59975.28
2021-04-12,59980.3525,64898.555,51120.145,56271.87
2021-04-19,56257.9175,57613.09,47012.0525,49123.22
2021-04-26,49123.6625,58544.5525,48817.06,56625.7675
2021-05-03,56617.0825,59551.37,52946.1525,58303.4025
2021-05-10,58324.56,59594.7475,43779.675,46456.4725
2021-05-17,46453.9,46645.2125,29641.5,34730.7875
2021-05-24,34737.5725,40889.7,33397.8725,35676.71
2021-05-31,35670.66,39484.6825,34194.55,35803.195
2021-06-07,35802.6825,39396.4125,31011.84,39026.525
2021-06-14,39026.76,41346.485,33346.765,35592.295
2021-06-21,35593.3025,35749.11,28754.4,34690.9775
2021-06-28,34706.3675,36650.9475,32706.545,35293.315
2021-07-05,35283.9775,35287.76,32106.4,34251.9575
2021-07-12,34265.07,34670.7275,31028.84,31784.15
2021-07-19,31789.0925,35446.245,29292.725,35428.2675
2021-07-26,35430.06,42604.7975,35263.77,39867.6725
2021-08-02,39872.8,45363.41,37316.515,43842.615
2021-08-09,43835.855,48178.0075,42818.5,47022.2825
2021-08-16,47021.725,49814.37,43948.2675,49288.8975
2021-08-23,49291.6275,50526.825,46299.31,48800.0725
2021-08-30,48794.5675,51898.5725,46536.1875,51791.6375
2021-09-06,51791.6625,52935.0525,42582.695,46038.8925
2021-09-13,46040.8925,48817.1475,43409.975,47249.3475
2021-09-20,47252.6175,47335.07,39585.5525,43194.81
2021-09-27,43171.7475,49260.6875,40759.145,48235.595
2021-10-04,48232.78,56533.9,46909.795,54696.93
2021-10-11,54677.15,62910.11,53928.4425,61532.1675
2021-10-18,61527.5475,66998.105,59515.2225,60875.2975
2021-10-25,60862.76,63715.95,57381.72,61357.63
2021-11-01,61359.0625,64311.5,59484.82,63312.7675
2021-11-08,63313.0675,68997.75,62442.585,65502.47
2021-11-15,65502.4725,66354.41,55174.75,58794.32
2021-11-22,58689.245,59422.46,53479.41,57322.77
2021-11-29,57319.83,59200.38,41631.28,49409.58
2021-12-06,49341.93,51935.25,47009.3,50112.02
2021-12-13,50020.94,50164.22,45549.31,46724.12
2021-12-20,46589.44,51816,45593.54,50801.7
2021-12-27,50818.91,52103.63,45628.36,47323.62
2022-01-03,47274.71,47577.04,40563.57,41865.65
2022-01-10,41883.5,44443.4,39896.66,43108.81
2022-01-17,43077.48,43489.52,34115.29,36292.06
2022-01-24,36172.62,38781.63,32992.55,37929.9
2022-01-31,37913.28,42701.89,36266.35,42417.63
2022-02-07,42419.63,45866.71,41688.55,42073.76
2022-02-14,42074.56,44776.3,37994.3,38386.55
2022-02-21,38391.53,40308.98,34329.29,37711.29
2022-02-28,37712.31,45352.71,37460.14,38423
2022-03-07,38412.97,42592.68,37166.86,37790.82
2022-03-14,37785.75,42403.4,37572.55,41277.41
2022-03-21,41291.68,46953.03,40516.26,46856.67
2022-03-28,46852.57,48222.96,44245.62,46415.99
2022-04-04,46420.72,47193.33,41869.98,42155.88
